codigo,aplicacion,instancia,ambienteSV,nombreSVHost,nombreSVOVM,ipV4
SI009,CORREO ELECTRÓNICO MISENA,N/A,PRODUCCIÓN,VSOVIRTTASK,VSOVIRTTASK,172.29.18.62
SI012,OFICINA VIRTUAL FORMACIÓN,N/A,PRODUCCIÓN,VSOVIRTTASK,VSOVIRTTASK,172.29.18.62
SI012,OFICINA VIRTUAL FORMACIÓN,OV,PRODUCCIÓN,VSPDBDOVIR01,VSPDBDOVIR01,172.29.10.195
SI009,CORREO ELECTRÓNICO MISENA,OV,PRODUCCIÓN,VSPDBDOVIR01,VSPDBDOVIR01,172.29.10.195
SI114,PÁGINA MI INVENTARIO,N/A,PREPRODUCCIÓN,VSPPAPMINV01,VSPPAPMINV01,172.30.164.60
SI146,JASPER,N/A,PREPRODUCCIÓN,VSPPAPJASP02,VSPPAPJASP02,172.30.164.71
SI114,PÁGINA MI INVENTARIO,N/A,PRODUCCIÓN,VSPDAPMINV01,VSPDAPMINV01,172.30.163.131
SI114,PÁGINA MI INVENTARIO,N/A,PRODUCCIÓN,VSPDAPMINV02,VSPDAPMINV02,172.30.163.132
SI161,PLAN DE ACCIÓN - WEB OPERATIVA,N/A,PREPRODUCCIÓN,VSPPAPPLANA01,VSPPAPPLANA01,172.30.164.62
SI161,PLAN DE ACCIÓN - WEB OPERATIVA,N/A,PREPRODUCCIÓN,VSPPBDPLANA01,VSPPBDPLANA01,172.31.4.160
SI002,PLANILLA INTEGRAL CARTERA,VSPPWEBKACT01,PRODUCCIÓN,VSPLANAPP01,VSPLANAPP01,172.29.18.39
SI002,PLANILLA INTEGRAL CARTERA,N/A,PRODUCCIÓN,VSPLANAPP02,VSPLANAPP02,172.29.18.40
SI002,PLANILLA INTEGRAL CARTERA,N/A,PRODUCCIÓN,VSPDBDPLAN01,VSPDBDPLAN01,172.29.10.200
SI002,PLANILLA INTEGRAL CARTERA,N/A,PRODUCCIÓN,VSPDBDPLAN02,VSPDBDPLAN02,172.29.10.201
SI078,PORTAL PQRSD,N/A,PRODUCCIÓN,VSPDAPPQRS01,VSPDAPPQRS01,172.30.163.151
SI078,PORTAL PQRSD,N/A,PRODUCCIÓN,VSPDAPPQRS02,VSPDAPPQRS02,172.30.163.152
SI004,KACTUS,N/A,PREPRODUCCIÓN,VSPPBDKACTUS02,VSPPBDKACTUS02,172.31.4.182
SI078,PORTAL PQRSD,N/A,PREPRODUCCIÓN,VSSACPRE01,VSSACPRE01,172.29.33.143
SI013,PORTAL WEB INSTITUCIONAL,N/A,PREPRODUCCIÓN,PRU-BDPORTALSQL,PRU-BDPORTALSQL,172.29.35.159
SI013,PORTAL WEB INSTITUCIONAL,N/A,PRODUCCIÓN,VSPORTALAPP01,VSPORTALAPP01,172.29.19.230
SI013,PORTAL WEB INSTITUCIONAL,N/A,PRODUCCIÓN,VSPORTALAPP02,VSPORTALAPP02,172.29.19.231
SI013,PORTAL WEB INSTITUCIONAL,N/A,PRODUCCIÓN,VSPORTALAPP03,VSPORTALAPP03,172.29.19.232
SI013,PORTAL WEB INSTITUCIONAL,N/A,PRODUCCIÓN,VSPORTALBUS01,VSPORTALBUS01,172.29.19.233
SI013,PORTAL WEB INSTITUCIONAL,N/A,PRODUCCIÓN,VSPORTALFRONT01,VSPORTALFRONT01,172.29.18.89
