codigo,aplicacion,nombreSV,estadoApp,ipV4,estadoipV4,ambienteSV, rol,so,ubicacion
SI015,SISTEMA INTEGRADO DE GESTIÓN DE PROYECTOS (SIGP),sco-02dedadm0202,Eliminado,,,Recuperación ante desastres (RD),Capa : Aplicación ;  No de Tarjetas Fiber Channel : N/A,Solaris 11.4,ID601 - Datacenter Odata
SI022,SISTEMA DE EVALUACIÓN Y CERTIFICACIÓN DE COMPETENCIAS LABORALES (SECCL),sc0-0202d2z06,Eliminado,172.29.10.146,Aplicado,Recuperación ante desastres (RD),"Capa: Base de Datos, No de Tarjetas Fiber Channel: N/A",Solaris 11.4,ID601 - Datacenter Odata
SI022,SISTEMA DE EVALUACIÓN Y CERTIFICACIÓN DE COMPETENCIAS LABORALES (SECCL),sc0-0202d2z06,Eliminado,172.30.139.233,Aplicado,Recuperación ante desastres (RD),"Capa: Base de Datos, No de Tarjetas Fiber Channel: N/A",Solaris 11.4,ID601 - Datacenter Odata
SI022,SISTEMA DE EVALUACIÓN Y CERTIFICACIÓN DE COMPETENCIAS LABORALES (SECCL),sc0-0202d2z06,Eliminado,172.31.21.56,Aplicado,Recuperación ante desastres (RD),"Capa: Base de Datos, No de Tarjetas Fiber Channel: N/A",Solaris 11.4,ID601 - Datacenter Odata
SI022,SISTEMA DE EVALUACIÓN Y CERTIFICACIÓN DE COMPETENCIAS LABORALES (SECCL),sc0-0202d2z06,Eliminado,172.31.3.156,Aplicado,Recuperación ante desastres (RD),"Capa: Base de Datos, No de Tarjetas Fiber Channel: N/A",Solaris 11.4,ID601 - Datacenter Odata
SI022,SISTEMA DE EVALUACIÓN Y CERTIFICACIÓN DE COMPETENCIAS LABORALES (SECCL),sc0-0202d2z06,Eliminado,192.168.28.226,Aplicado,Recuperación ante desastres (RD),"Capa: Base de Datos, No de Tarjetas Fiber Channel: N/A",Solaris 11.4,ID601 - Datacenter Odata
SI052,BASE DE DATOS SNIES,sc01zdbadm05,Aplicado,172.29.10.108,Aplicado,Recuperación ante desastres (RD),Capa : Base de Datos ;  No de Tarjetas Fiber Channel : N/A,Solaris 11.4,ID600 - Datacenter Zona Franca
SI052,BASE DE DATOS SNIES,sc01zdbadm05,Aplicado,172.29.10.55,Aplicado,Recuperación ante desastres (RD),Capa : Base de Datos ;  No de Tarjetas Fiber Channel : N/A,Solaris 11.4,ID600 - Datacenter Zona Franca
SI052,BASE DE DATOS SNIES,sc01zdbadm05,Aplicado,172.29.10.65,Aplicado,Recuperación ante desastres (RD),Capa : Base de Datos ;  No de Tarjetas Fiber Channel : N/A,Solaris 11.4,ID600 - Datacenter Zona Franca
SI052,BASE DE DATOS SNIES,sc01zdbadm05,Aplicado,172.29.20.57,Aplicado,Recuperación ante desastres (RD),Capa : Base de Datos ;  No de Tarjetas Fiber Channel : N/A,Solaris 11.4,ID600 - Datacenter Zona Franca
SI052,BASE DE DATOS SNIES,sc01zdbadm05,Aplicado,172.30.139.21,Aplicado,Recuperación ante desastres (RD),Capa : Base de Datos ;  No de Tarjetas Fiber Channel : N/A,Solaris 11.4,ID600 - Datacenter Zona Franca
SI052,BASE DE DATOS SNIES,sc01zdbadm05,Aplicado,172.30.139.53,Aplicado,Recuperación ante desastres (RD),Capa : Base de Datos ;  No de Tarjetas Fiber Channel : N/A,Solaris 11.4,ID600 - Datacenter Zona Franca
SI052,BASE DE DATOS SNIES,sc01zdbadm05,Aplicado,172.31.1.165,Aplicado,Recuperación ante desastres (RD),Capa : Base de Datos ;  No de Tarjetas Fiber Channel : N/A,Solaris 11.4,ID600 - Datacenter Zona Franca
SI052,BASE DE DATOS SNIES,sc01zdbadm05,Aplicado,192.168.10.21,Aplicado,Recuperación ante desastres (RD),Capa : Base de Datos ;  No de Tarjetas Fiber Channel : N/A,Solaris 11.4,ID600 - Datacenter Zona Franca
